new_gene	new_genome	old_gene	old_genome	group	clade	station	depth
001745_2000238	2000238_prochlorococcus	AG-402-C09_01781	AG-402-C09	Prochlorococcus	LLI	HOT	100
000798_2000472	2000472_prochlorococcus	AG-679-I23_00818	AG-679-I23	Prochlorococcus	LLI	GRADIENT6	60
001101_2000047	2000047_prochlorococcus	AG-321-E21_01121	AG-321-E21	Prochlorococcus	HLI	BIGRAPA4	14
001062_2000654	2000654_synechococcus	AG-673-B08_01081	AG-673-B08	Synechococcus	Subcluster 5.1A	GRADIENT4	90
000237_2000653	2000653_synechococcus	AG-673-B04_00244	AG-673-B04	Synechococcus	Subcluster 5.1A	GRADIENT4	90
000181_2000665	2000665_synechococcus	AG-679-B05_00183	AG-679-B05	Synechococcus	Subcluster 5.1A	GRADIENT6	60
001417_2000503	2000503_prochlorococcus	MIT1013_01442	MIT1013	Prochlorococcus	LLI	BIGRAPA7	150
000557_2000020	2000020_prochlorococcus	AG-311-K21_00566	AG-311-K21	Prochlorococcus	LLI	BIGRAPA1	20
000356_2000050	2000050_prochlorococcus	AG-321-G21_00362	AG-321-G21	Prochlorococcus	HLI	BIGRAPA4	14
001815_2000265	2000265_prochlorococcus	AG-402-L23_01850	AG-402-L23	Prochlorococcus	HLII	HOT	100
000701_93057	93057_prochlorococcus	MIT9201_00717	MIT9201	Prochlorococcus	HLII	fiji	0
001351_2000264	2000264_prochlorococcus	AG-402-L20_01381	AG-402-L20	Prochlorococcus	LLI	HOT	100
000918_323261			Nitrosococcus oceani ATCC 19707	Gammaproteobacteria			
003723_1073573			SAR324 cluster bacterium JCVI-SC AAA005	Deltaproteobacteria			
000100_939909			Verrucomicrobia bacterium SCGC AAA300-K03	Verrucomicrobia			
002979_58051			Moritella sp. PE36	Gammaproteobacteria			
000188_2000000			OCS116 cluster alphaproteobacterium AG-343-E15	Alphaproteobacteria			
004373_338187			Vibrio campbellii ATCC BAA-1116	Gammaproteobacteria			
000476_1811648			SAR86 cluster bacterium REDSEA-S45_B6	Gammaproteobacteria			
000938_1811645			SAR86 cluster bacterium REDSEA-S21_B7	Gammaproteobacteria			
001238_1811642			SAR86 cluster bacterium REDSEA-S08_B3	Gammaproteobacteria			
001287_1811643			SAR86 cluster bacterium REDSEA-S09_B4	Gammaproteobacteria			
001564_298386			Photobacterium profundum SS9	Gammaproteobacteria			
001935_321327			Synechococcus sp. JA-3-3Ab	Freshwater Synechococcus			
002626_321332			Synechococcus sp. JA-2-3Ba2-13	Freshwater Synechococcus			
003133_374981			Synechococcus sp. PCC 7003	Freshwater Synechococcus			
003029_374982			Synechococcus sp. PCC 73109	Freshwater Synechococcus			
003141_32049			Synechococcus sp. PCC 7002	Freshwater Synechococcus			
000264_490193			Synechococcus sp. NKBG042902	Freshwater Synechococcus			
003097_195248			Synechococcus sp. PCC 8807	Freshwater Synechococcus			
003033_195498			Synechococcus sp. PCC 7117	Freshwater Synechococcus			
