sampleID	station_num_BODC	lat	lon	aluminum_dissolved_nmol.kg	aluminum_total.particulate_nmol.kg	cobalt_dissolved_pmol.kg	copper_dissolved_nmol.kg	dissolved.organic.carbon_dissolved_umol.kg	iron_dissolved_nmol.kg	iron_soluble_nmol.kg	iron_total.particulate_nmol.kg	ironII_dissolved_nmol.kg	L1.copper.bind_dissolved_logK	L1.copper.conc_dissolved_nmol.kg	L1.iron.bind_dissolved_logK	L1.iron.conc_dissolved_nmol.kg	L2.iron.bind_dissolved_nmol.kg	L2.iron.logk_dissolved_logK	lead_dissolved_pmol.kg	manganese_dissolved_nmol.kg	nickel_dissolved_nmol.kg	nitrate_dissolved_umol.kg	nitrite_dissolved_umol.kg	oxygen_dissolved_umol.kg	phosphate_dissolved_umol.kg	pressure_dissolved_dbar	salinity_dissolved_PSS.1978	silicate_dissolved_umol.kg	temperature_dissolved_deg.c	zinc_dissolved_nmol.kg
S0060	1701465	24.1497	-40.21786	25.843903	NA	32.195122	0.863415	NA	0.20939	0.174	NA	0.234146	14.5	1.863415	12.44	1.190244	0.907317	11.13	21.9	1.138049	NA	0.10722	0.072195	209.2	0.01239	114.7	37.304001	0	22.23	0.082073
S0061	1701465	24.1497	-40.21786	23.892683	2.270732	48.780487	1.165854	NA	0.324878	0.202	0.666927	0.195122	NA	NA	12.51	1.141463	0.497561	11.61	23.450001	0.325366	NA	0.941561	0.012293	195.4	0.148	185.3	36.852001	0.29	19.438	0.09439
S0062	1701465	24.1497	-40.21786	28.341463	NA	58.536587	1.22439	NA	0.371707	0.337	NA	0.17561	NA	NA	12.3	1.160976	0.75122	11.21	23.450001	0.195122	NA	4.21	0	190.7	0.19	234.6	36.598999	0.78	18.129	0.127073
S0063	1701465	24.1497	-40.21786	20.487804	3.476976	56.585365	1.204878	NA	0.360732	0.227	0.976878	0.204878	14.4	2.234146	12.41	1.180488	1.112195	11.11	23.700001	0.152195	NA	6.1	0	185.8	0.32	285.9	36.452	1.27	17.305	0.135488
S0064	1701374	38.65497	-69.13131	43.990246	NA	54.634148	1.126829	NA	0.550732	0.124	NA	NA	14.4	2.517073	12.44	2.039024	1.102439	11.72	17.549999	2.386829	NA	0.07961	0.013171	204.4	0.015707	28.6	36.166	0.68	24.514	0.512317
S0065	1701374	38.65497	-69.13131	44.165855	NA	44.878048	1.034146	NA	0.536098	0.12	NA	NA	14.15	3.37561	12.48	1.873171	0.595122	11.88	24.35	2.019024	NA	0.166146	0.026244	202.8	0.009268	61.7	36.339001	0.19	24.153	0.364634
S0066	1701374	38.65497	-69.13131	42.117073	0.926146	47.804878	0.951219	NA	0.492683	0.092	0.565756	NA	13.9	1.609756	12.49	1.795122	1.219512	11.77	19.9	1.768293	NA	0.209951	0.046732	165.7	0.012	87.1	36.679001	0.68	23.587	0.460488
S0067	1701374	38.65497	-69.13131	33.668293	2.494049	60.487804	0.819512	NA	0.514634	0.194	0.836195	NA	NA	NA	12.44	1.658537	0.565854	11.56	24.450001	0.303902	NA	0.984	0.013756000000000001	151.1	0.301463	109.7	36.749001	1.07	21.66	0.691463
S0068	1701374	38.65497	-69.13131	36.848782	2.654927	58.536587	0.839024	NA	0.541341	0.134	0.974341	NA	NA	NA	12.58	1.560976	0.585366	11.76	19.85	0.252195	NA	0.98478	0.011512	161.6	0.350927	136.7	36.762001	0.78	20.289	0.870122
S0069	1701374	38.65497	-69.13131	46.770733	2.430341	48.780487	0.834146	NA	0.388659	0.111	0.76	NA	13.9	0.8	12.31	1.170732	0.692683	11.55	19	0.300976	NA	0.983317	0.011805	187.8	0.164683	188	36.641998	0.29	18.946	0.879878
S0070	1701374	38.65497	-69.13131	36.848782	NA	46.829269	0.848781	NA	0.390244	0.087	NA	NA	NA	NA	12.72	1.278049	0.926829	11.71	22.1	0.28	NA	4.52	0	193.3	0.19	236.6	36.563999	0.68	18.224	1.084268
S0071	1701374	38.65497	-69.13131	35.160976	3.258732	46.829269	0.834146	NA	0.315732	0.106	1.012585	NA	NA	NA	12.48	1.121951	1.092683	11.39	21.65	0.273659	NA	6.41	0	185.9	0.31	291.2	36.453999	1.27	17.589	0.718293
S0072	1646816	22.33305	-35.86703	25.004877	NA	11.541463	0.653659	NA	0.55122	0.178	NA	0.17561	13.85	1.77561	12.42	1.619512	0.790244	11.44	19	2.13	NA	0.070146	0.001463	205.8	0.008683	40.2	37.395	0.19	25.324	0.038537
S0073	1646816	22.33305	-35.86703	20.097561	0.441854	25.396341	0.663415	NA	0.15	0.156	0.304878	0.126829	13.4	3.287805	12.08	1.063415	1.034146	11.29	25.299999	1.468293	NA	0.258439	0.001854	219.3	0.00761	74.8	37.415001	0	23.994	0.04
S0074	1646816	22.33305	-35.86703	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.14	0.01	211.6	0	100.4	37.314999	0	22.44	NA
S0075	1646816	22.33305	-35.86703	17.414635	1.010927	41.563416	0.790244	NA	0.24	0.173	0.381854	0.029268	13.1	2.97561	12.3	0.897561	0	0	21.700001	0.78	NA	0.953073	0.041366	174.4	0.220488	135.1	36.964001	0.49	20.269	0.100122
S0076	1646816	22.33305	-35.86703	18.604877	1.945073	48.22683	0.839024	NA	0.381463	0.243	0.57239	0.009756	NA	NA	12.29	1.004878	0.536585	11.23	23.200001	0.38	2.44	0.977463	0.016878	162.6	0.378341	185	36.589001	1.36	18.195	0.12
S0077	1646816	22.33305	-35.86703	19.629269	NA	70.386581	0.829268	NA	0.478049	0.336	NA	0.009756	NA	NA	12.27	1.02439	0.62439	11.23	23.5	0.20878	2.65	9.19	0	159.3	0.5	235.7	36.442001	1.85	17.353	0.12
S0078	1646816	22.33305	-35.86703	21.502439	4.589463	66.64756	0.878049	NA	0.487805	0.244	1.277756	0.019512	13	1.95122	12.31	0.907317	0	0	26.4	0.16	NA	10.2	0	166.2	0.56	302.9	36.228001	2.34	16.057	0.36939
S0079	1646816	22.33305	-35.86703	21.365854	NA	80.253662	0.965854	NA	0.587317	0.335	NA	0.019512	NA	NA	12.36	1.063415	0	0	29.6	0.147317	NA	13.12	0	154.6	0.74	377	36.019001	3.41	14.843	0.353659
S0080	1646816	22.33305	-35.86703	19.619513	NA	79.202438	1.082927	NA	0.620488	0.331	NA	0.009756	NA	NA	12.14	1.180488	0	0	43.400002	0.131707	3.58	16.23	0	159.1	0.94	503.4	35.717999	5.27	12.725	1.13
S0081	1646816	22.33305	-35.86703	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.719999	0	160.4	1.76	1064.6	35.001999	19.52	6.143	NA
S0082	1646459	31.75351	-64.17499	32.243904	NA	29.268293	1	NA	0.466829	0.14	NA	0.117073	13.85	1.629268	12.37	1.102439	0.653659	11.25	18.6	1.893171	NA	0.057659	0.00361	209.1	0.009561	42.1	36.546001	0.19	24.134	0.237805
S0083	1646459	31.75351	-64.17499	NA	0.715024	NA	NA	NA	NA	NA	0.418341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	209.1	0	76.2	36.603001	0.1	24.189	NA
S0084	1646459	31.75351	-64.17499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07	0.03	219.8	0	89.7	36.664001	0	22.116	NA
S0085	1646459	31.75351	-64.17499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.09	0.02	189.7	0.1	110.5	36.722	0.49	20.552	NA
S0086	1646459	31.75351	-64.17499	28.195122	1.47239	50.691463	0.926829	NA	0.16	0.097	0.465854	0.146341	NA	NA	12.27	0.8	0.702439	11	18.1	0.454634	2.21	1.216683	0.01961	203.9	0.114439	183.8	36.591	0.49	18.481	0.182439
S0087	1646459	31.75351	-64.17499	32.799999	NA	48.22805	0.878049	NA	0.26	0.124	NA	0.126829	NA	NA	12.17	0.868293	0.673171	11.42	18.200001	0.301463	2.18	3.45	0	205.4	0.14	235.1	36.591	0.78	18.246	0.210732
S0088	1646459	31.75351	-64.17499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.61	0	206.4	0.15	283.6	36.576	0.88	18.072	NA
S0089	1646459	31.75351	-64.17499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.88	0	203.6	0.22	417.5	36.480999	1.17	17.509	NA
S0090	1646690	26.13688	-44.82622	37.092682	NA	15.609756	0.780488	NA	0.919024	0.162	NA	0.253659	12.95	2.8	12.57	1.687805	0.702439	11.62	23.15	1.670244	NA	0.029268	0	205.3	0.007707	40	37.395	0.19	25.137	0.353171
S0091	1646690	26.13688	-44.82622	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	205.9	0	61.1	37.394001	0.1	25.14	NA
S0092	1646690	26.13688	-44.82622	30.634146	NA	38.048782	0.780488	NA	0.2	0.188	NA	0.078049	12.7	4.341464	12.47	0.760976	0.995122	11.23	26	1.057561	NA	0.046829	0.030439	221	0.00761	90.5	37.231998	0	23.157	0.217561
S0093	1646690	26.13688	-44.82622	27.697561	0.337171	45.853661	0.8	NA	0.23122	0.124	0.40761	0.009756	NA	NA	12.3	0.790244	0.819512	11.29	22.25	0.922439	NA	0.235902	0.066537	214.4	0.014341	111.5	37.106998	0	21.995	0.907317
S0094	1646690	26.13688	-44.82622	28.22439	0.835902	39.024391	0.834146	NA	0.322927	0.209	0.442927	0.029268	14.15	1.726829	12.62	0.985366	1.004878	11.22	19.700001	0.451707	NA	0.932098	0.021463	198.1	0.04361	136.5	36.972	0	20.682	0.134634
S0095	1646690	26.13688	-44.82622	27.063416	2.705854	44.878048	0.82439	NA	0.397073	0.251	0.857073	0.029268	NA	NA	12.61	0.97561	0.604878	11.27	20.75	0.21122	NA	0.945756	0.00761	184.8	0.19522	187	36.719002	0.39	18.979	0.130488
S0096	1646690	26.13688	-44.82622	32.468292	NA	48.780487	0.878049	NA	0.431707	0.263	NA	0.009756	13.9	1.258537	12.27	0.887805	0.565854	11.14	21.65	0.159512	NA	4.98	0	190.1	0.23	236.5	36.553001	0.97	17.948	0.162927
S0097	1646690	26.13688	-44.82622	29.278049	4.71239	47.804878	0.936585	NA	0.385	0.204	1.305951	0.009756	NA	NA	12.11	0.829268	0	0	21.799999	0.146829	NA	5.66	0	194.7	0.27	286.9	36.43	1.07	17.261	0.163415
S0098	1646914	17.3999	-24.49991	21.55122	5.096292	25.365854	0.653659	NA	0.448293	0.192	1.478341	0.078049	NA	NA	12.65	1.385366	0.536585	11.58	17.4	2.483902	NA	0.077073	0.001561	207	0.02322	48.4	36.806	0	24.678	0.122561
S0099	1646914	17.3999	-24.49991	10.517073	NA	68.292686	0.653659	NA	0.140488	0.207	NA	0.019512	13.55	1.795122	12.49	0.965854	0.907317	11.31	21.049999	1.899512	NA	0.703317	0.111707	156.3	0.205366	72	36.477001	1.75	20.199	0.07878
S0100	1646914	17.3999	-24.49991	9.453659	1.456195	92.68293	0.692683	NA	0.296585	0.242	0.610537	0.04878	NA	NA	12.48	1.170732	0.965854	11.87	19.450001	1.166829	NA	0.725756	0.085561	140.9	0.604976	89.9	36.588001	1.46	19.688	0.104878
S0101	1646914	17.3999	-24.49991	18.829268	6.637171	97.560974	0.77561	NA	0.64439	0.268	2.012585	0.068293	13.1	3.882927	12.58	1.434146	1.170732	11.38	18.1	0.305854	NA	0.790439	0.016976	112.7	0.887317	135.9	36.271999	3.02	16.768	0.135
S0102	1646914	17.3999	-24.49991	18.234146	0	111.219513	0.780488	NA	0.841463	0.347	0	0.17561	NA	NA	12.55	1.395122	0.263415	11.87	19.65	0.261463	NA	0.797171	0.010927	85.2	1.077659	184.9	35.742001	6.44	14.295	0.222195
S0103	1646914	17.3999	-24.49991	16.751221	9.213464	121.951218	0.795122	NA	1.201463	0.733	2.470244	0.165854	13.8	1.463415	12.55	1.95122	0.604878	11.3	18.15	0.285366	NA	24.690001	0	74.5	1.46	236	35.611	7.71	13.458	0.328415
S0104	1646914	17.3999	-24.49991	15.765854	NA	130.731705	0.839024	NA	1.273171	0.716	NA	0.214634	NA	NA	12.44	1.960976	0.321951	11.66	17.85	0.293171	NA	26.41	0	70.5	1.57	287.8	35.508999	8.78	12.667	0.388902
S0105	1646606	27.58305	-49.63297	38.292683	NA	16.585365	0.829268	NA	0.943902	0.201	NA	NA	NA	NA	0	0	2.604878	11.98	24.799999	2.244878	NA	0.041659	0	204.9	0.00722	40.4	36.911999	0.39	25.357	0.118293
S0106	1646606	27.58305	-49.63297	34.263416	2.263317	31.219513	0.790244	NA	0.289756	0.181	0.622439	0.195122	NA	NA	NA	NA	NA	NA	20.1	1.236585	NA	0.03522	6.83e-4	231.7	0.006537	69.9	37.025002	0.19	23.437	0.053537
S0107	1646606	27.58305	-49.63297	27.804878	0	34.146343	0.741463	NA	0.197073	0.131	0.151122	0.214634	13.35	2.985366	12.11	1.209756	1.121951	11.15	23.200001	1.141463	NA	0.03639	0.008293	216.4	0.006927	99.7	37.042	0.1	21.882	0.079024
S0108	1646606	27.58305	-49.63297	26.536585	NA	41.951221	0.790244	NA	0.163902	0.141	NA	0.214634	NA	NA	12.12	1.434146	0	0	21	1.058537	NA	0.075024	0.109756	209	0.009854	114.6	36.948002	0.1	21.166	0.07622
S0109	1646606	27.58305	-49.63297	24.614634	0.077561	43.902439	0.795122	NA	0.143902	0.149	0.12361	0.165854	NA	NA	0	0	1.180488	11.88	20.9	0.859512	NA	0.334341	0.054732	206.6	0.01522	134.6	36.831001	0.1	20.306	0.16439
S0110	1646606	27.58305	-49.63297	27.395123	0.552976	51.707317	0.795122	NA	0.31561	0.259	0.248488	0.185366	NA	NA	12.06	1.287805	0.897561	11.18	19.5	0.265366	NA	1.154146	0.009756	189.5	0.130049	185.1	36.675999	0.58	18.911	0.13
S0111	1646606	27.58305	-49.63297	29.95122	NA	53.658539	0.795122	NA	0.398049	0.221	NA	0.214634	NA	NA	12.43	1.063415	0.692683	11.09	23.9	0.16	NA	4.26	0	193.3	0.18	235.3	36.570999	0.78	18.143	0.174756
S0112	1646606	27.58305	-49.63297	34.224388	1.50722	55.609756	0.809756	NA	0.360976	0.161	0.489854	0.204878	13.45	2.97561	12.14	1.180488	0	0	19.85	0.156098	NA	4.91	0	197.9	0.22	287.1	36.491001	0.97	17.668	0.12122
S0114	1646123	39.69225	-69.86286	23.12195	NA	128.780487	1.531707	NA	0.615122	NA	NA	NA	14	2.458537	12.34	2	0.35122	11.94	20.1	3.165854	NA	0.710439	0.067122	226.7	0.075805	30.4	34.978001	0.88	19.386	0.75122
S0115	1646123	39.69225	-69.86286	25.990244	NA	119.024391	1.64878	NA	0.682927	NA	NA	NA	NA	NA	12.29	2.117073	0.282927	11.96	21.4	2.762927	NA	0.709659	0.083805	189.6	0.109561	58.3	35.431999	2.54	18.637	0.937561
S0116	1646123	39.69225	-69.86286	25.014633	18.292391	77.073174	0.951219	NA	0.755122	NA	5.578732	NA	14.2	2.517073	12.27	1.82439	0.4	11.25	47	0.464878	NA	0.764976	0.015707	144.3	0.484585	89.9	36.035	5.18	15.814	0.93378
S0117	1646123	39.69225	-69.86286	23.765854	20.292294	71.219513	0.873171	NA	0.779512	NA	5.504	NA	13.65	2.331707	12.27	1.970732	0.585366	11.67	48.099998	0.31561	NA	0.770829	0.008488	144.8	0.595024	110.8	35.855999	6.15	14.399	0.889634
S0118	1646123	39.69225	-69.86286	22.682926	18.260977	70.243904	0.882927	NA	0.786829	NA	5.274439	NA	NA	NA	12.51	1.765854	0.790244	11.26	19.799999	0.301951	NA	0.784976	0.006244	151.2	0.633659	136.5	35.734001	6.84	13.526	1.061829
S0119	1646123	39.69225	-69.86286	18.331707	21.74917	69.268295	0.887805	NA	0.65	NA	5.665951	NA	13.5	2.370732	12.31	1.453658	0.965854	11.04	24.9	0.174634	NA	0.772976	0.005268	134.4	0.70761	187.3	35.494999	10.35	11.805	1.43
S0120	1646123	39.69225	-69.86286	15.482927	9.467902	71.219513	1.209756	NA	0.702439	NA	2.80322	NA	NA	NA	12.13	2.185366	0	0	28.9	0.193659	NA	23.01	0	141.4	1.48	288.3	35.292999	12.51	10.032	1.678049
S0122	1701381	38.32433	-68.87553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	208	0.01	39.7	36.125999	0.39	23.536	NA
S0123	1701381	38.32433	-68.87553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	207.7	0	66.1	36.127998	0.39	23.545	NA
S0124	1701381	38.32433	-68.87553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	207.8	0	91.5	36.138	0.29	23.571	NA
S0125	1701381	38.32433	-68.87553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02	0.03	205.8	0	112	36.361	0.19	23.745	NA
S0126	1701381	38.32433	-68.87553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.25	0.02	192.3	0.04	136.3	36.75	0.19	22.725	NA
S0127	1701381	38.32433	-68.87553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.72	0	185.9	0.11	185.6	36.693001	0.49	20.158	NA
S0128	1701381	38.32433	-68.87553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.36	0	193.1	0.12	238.6	36.617001	0.58	18.795	NA
S0129	1701381	38.32433	-68.87553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.9	0	197.2	0.16	287.7	36.584	0.68	18.353	NA
S0130	1701395	37.60731	-68.3895	36.62439	NA	70.243904	1.165854	NA	0.330732	0.13	NA	NA	NA	NA	12.37	1.639024	0.956098	11.48	16.049999	2.033171	NA	0.022341	0.040293	207.7	0.015902	39.9	35.997002	0.59	23.395	0.199024
S0131	1701395	37.60731	-68.3895	35.55122	NA	67.31707	1.160976	NA	0.35122	0.133	NA	NA	14.75	1.502439	12.39	1.814634	0	0	21.4	2.045854	NA	0.023805	0.026049	207.5	0.013073	65.1	36.034	0.59	23.418	0.169024
S0132	1701395	37.60731	-68.3895	35.024391	0.258341	63.414635	1.146341	NA	0.429756	0.112	0.422732	NA	14.5	2.185366	12.33	1.82439	1.765854	11.21	31.65	2.032683	NA	0.022634	0.056976	208.1	0.013561	90.3	36.070999	0.59	23.463	0.17378
S0133	1701395	37.60731	-68.3895	40.292683	0.653268	58.536587	1.029268	NA	0.483415	0.137	0.370927	NA	13.65	2.234146	12.23	2.117073	0.790244	11.75	18.950001	1.379024	NA	0.210341	0.172878	202	0.032585	112	36.081001	0.59	23.379	0.23439
S0134	1701395	37.60731	-68.3895	29.921951	3.15678	79.024391	1.034146	NA	0.465854	0.191	1.120683	NA	NA	NA	12.02	1.921951	1.053658	11.17	18.450001	0.485854	NA	0.941171	0.046341	175	0.229171	140.7	36.155998	1.75	20.507	0.31378
S0135	1701395	37.60731	-68.3895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.44	0	166.2	0.28	161.3	36.368999	1.95	19.819	NA
S0136	1701395	37.60731	-68.3895	24.634146	13.236195	71.219513	0.956098	NA	0.672683	0.222	3.462927	NA	NA	NA	12.29	1.726829	0.360976	11.71	17.700001	0.356585	NA	11.47	0	152.3	0.65	234.8	36.049999	4.1	16.073	0.635366
S0137	1701395	37.60731	-68.3895	23.843903	NA	70.243904	0.848781	NA	0.498537	0.205	NA	NA	13	2.302439	12.18	1.843902	0.390244	11.36	24.25	0.247805	NA	13.85	0	155.3	0.83	287	35.943001	4.97	14.783	0.430122
S0138	1701493	19.43336	-29.38323	19.365854	NA	20.487804	0.804878	NA	0.357927	0.182	NA	0.097561	13.7	1.64878	12.19	1.346341	0.556098	11.38	14.7	2.297561	NA	0.026439	0	206.9	0.009659	50.3	37.169998	0.29	24.811	0.06378
S0139	1701493	19.43336	-29.38323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	205.9	0	75	37.168999	0.29	24.807	NA
S0140	1701493	19.43336	-29.38323	22.126829	1.825366	26.341463	0.790244	NA	0.359634	0.113	0.627122	0.058537	NA	NA	12.26	1.346341	0.809756	11.46	18.700001	1.881951	NA	0.037951	0.004585	205.3	0.013171	84.5	37.092999	0.39	23.235	0.044024
S0141	1701493	19.43336	-29.38323	13.970732	3.448488	68.292686	0.839024	NA	0.264146	0.212	0.527317	0.058537	14.25	1.531707	12.12	1.453658	0.585366	11.39	18.85	0.84439	NA	0.935317	0.039024	140.1	0.50078	124.6	36.662998	2.05	19.517	0.05939
S0142	1701493	19.43336	-29.38323	17.12195	NA	102.439018	0.956098	NA	0.587195	0.294	NA	0.087805	NA	NA	12.32	1.287805	0.848781	11.08	19.049999	0.269756	NA	0.963415	0.008293	117.1	0.974244	185.1	36.138	4.29	15.955	0.147317
S0143	1701493	19.43336	-29.38323	19.560976	NA	98.536583	0.956098	NA	0.670732	0.325	NA	0.136585	13.75	2.282927	12.37	1.385366	0.917073	11.24	20.299999	0.282927	NA	0.963415	0.005756	132.3	1.014146	234.7	36.030998	5.27	15.176	0.185488
S0144	1701493	19.43336	-29.38323	19.307318	NA	106.341461	0.995122	NA	0.747317	0.364	NA	0.087805	NA	NA	12.35	1.482927	1.385366	11.24	22.9	0.24	NA	16.92	0	126.8	1.01	285.2	35.910999	5.56	14.36	0.245488
S0145	1701493	19.43336	-29.38323	20.478048	NA	106.341461	1.117073	NA	0.874146	0.371	NA	0.165854	13.55	3.170732	12.45	1.560976	1.395122	11.04	30.75	0.186829	NA	19.99	0	123.1	1.19	392.2	35.695999	7.22	12.793	0.508537
S0231	1700002	24.00011	-22.00011	12.546342	NA	40.975609	0.634146	75.609756	0.17561	0.063	NA	0.058537	13.55	2.312195	0	0	1.209756	11.82	33.299999	2.709268	2.58	0.039415	0.005073	206.9	0.071122	33.4	36.720001	0.39	25.66	0.249268
S0232	1700002	24.00011	-22.00011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	219.4	0.05	58.1	36.93	0.39	24.09	NA
S0233	1700002	24.00011	-22.00011	12.039024	NA	48.780487	0.614634	71.414635	0.11	0.086	NA	0.058537	13.45	3.443902	0	0	1.2	11.79	28.5	1.697805	2.11	0.353366	0.094829	213.2	0.084195	73.4	36.919998	0.58	22.81	0.123902
S0234	1700002	24.00011	-22.00011	12.478049	6.690732	116.097557	0.692683	53.853661	0.927	0.341	2.090439	0.058537	NA	NA	0	0	2.409756	11.75	21.4	0.529512	2.75	1.377073	0.042439	106.7	0.85639	152.8	36.27	4.68	17.27	0.33
S0235	1700002	24.00011	-22.00011	15.004878	NA	112.195122	0.62439	49.560974	0.987317	0.287	NA	0.058537	13.1	2.087805	0	0	1.941463	11.85	22.25	0.416098	2.74	1.382537	0.033951	115.1	0.844683	202.5	36.200001	4.97	16.34	0.24878
S0236	1700002	24.00011	-22.00011	19.453659	9.467708	97.560974	0.829268	NA	0.844	0.334	2.741268	0.058537	NA	NA	0	0	1.726829	11.99	27.200001	0.268415	3.04	16.219999	0.01	134	0.98	351.5	35.900002	5.75	14.07	0.532683
S0237	1700002	24.00011	-22.00011	13.560976	NA	29.268293	0.565854	NA	0.423768	0.298	NA	0.058537	13.2	3.02439	0	0	1.580488	11.82	22.5	2.38	2.15	0.041561	0.004	NA	0.068585	2	36.740002	NA	25.58	0.015
