sampleID	station_num_BODC	lat	lon	aluminum_dissolved_nmol.kg	cobalt_dissolved_pmol.kg	dissolved.inorganic.carbon_dissolved_umol.kg	dissolved.organic.carbon_dissolved_umol.kg	iron_dissolved_nmol.kg	lead_dissolved_pmol.kg	manganese_dissolved_nmol.kg	molybdenum_dissolved_nmol.kg	nickel_dissolved_nmol.kg	nitrate_dissolved_umol.kg	nitrite_dissolved_umol.kg	oxygen_dissolved_umol.kg	phosphate_dissolved_umol.kg	pressure_dissolved_dbar	salinity_dissolved_PSS.1978	silicate_dissolved_umol.kg	temperature_dissolved_deg.c	zinc_dissolved_nmol.kg
S0018	1608687	36.2067	-53.2681	17.521952	NA	2104.600098	54.536587	0.11	21.360001	0.663415	NA	2.28	1.4	0.34	204.8	0.1	102.8	36.518002	0.8	17.793	0.03
S0019	1608687	36.2067	-53.2681	20.67317	NA	2104	NA	0.11	22.700001	0.653659	NA	2.28	2.4	0.42	202.1	0.12	152.2	36.518002	1.1	17.632	0.05
S0020	1608687	36.2067	-53.2681	21.77561	NA	2105	NA	0.12	21.4	0.663415	NA	2.35	3.1	0.13	207.4	0.15	200.6	36.511002	1.1	17.558	0.04
S0021	1608673	37.5673	-50.6855	11.512195	NA	2085.899902	61.463413	0.05	22.959999	0.585366	NA	2.07	0.3	0.1	222.6	0.03	10.1	36.409	0.2	17.759	0.04
S0022	1608673	37.5673	-50.6855	11.473171	NA	2085.899902	69.658539	0.03	21.030001	0.57561	NA	2.08	0.3	0.06	221.8	0.03	52.4	36.403	0.2	17.695	0.06
S0023	1608673	37.5673	-50.6855	12.946342	NA	2088	NA	0.04	22.139999	0.565854	NA	2.09	0.7	0.14	217.5	0.04	75.6	36.404999	0.3	17.563	0.02
S0024	1608673	37.5673	-50.6855	15.863415	28.907316	2101.600098	70.146339	0.02	22.09	0.57561	NA	2.11	1.7	0.33	215.8	0.1	103.8	36.383999	0.9	17.24	0.04
S0025	1608673	37.5673	-50.6855	24.624389999999998	NA	2124.600098	NA	0.16	23.26	0.22439	NA	2.31	6.4	0.02	205.7	0.34	152.2	36.367001	2.1	16.795	0.07
S0026	1608673	37.5673	-50.6855	24.087805	44.89756	2113	NA	0.21	23.290001	0.243902	NA	2.34	4.4	0.02	206.5	0.23	202.6	36.368	1.6	16.75	0.06
S0027	1608701	34.3277	-55.4316	14.692683	NA	2082.399902	60.487804	0.09	21.209999	0.614634	NA	2.03	0	0.02	227.4	0.02	10.1	36.526001	0.3	18.858	0.75
S0028	1608701	34.3277	-55.4316	15.37561	NA	2092.199951	55.902439	0.05	20.690001	0.653659	NA	2.04	0.2	0.08	218	0.02	50.4	36.52	0.3	18.167	0.02
S0029	1608701	34.3277	-55.4316	15.77561	28.180489	2099.5	NA	0.06	21.049999	0.634146	NA	2.1	0.4	0.15	211.5	0.03	77.6	36.521	0.5	18.11	0.03
S0030	1608701	34.3277	-55.4316	19.239023	NA	2104.399902	56.097561	0.05	22.360001	0.653659	NA	2.12	2.9	0.16	207.6	0.13	103.8	36.500999	0.9	17.557	0.04
S0031	1608701	34.3277	-55.4316	26.936584	35.404877	2104.899902	NA	0.18	21.469999	0.507317	NA	2.17	2.7	0.34	212.2	0.14	153.2	36.486	1	17.436	0.08
S0032	1608701	34.3277	-55.4316	27.073172	NA	2106.899902	NA	0.2	21.389999	0.487805	NA	2.17	3.1	0.14	209.2	0.15	200.5	36.493	1	17.398	0.11
S0033	1609079	13.1623	-53.4215	28.487804	45.385365	1824.599976	83.414635	0.53	9.94	3.190244	NA	2.16	0	0.01	202.8	0.02	9.1	32.118999	8	29.07	0.03
S0034	1609079	13.1623	-53.4215	32.097561	36.252682	2024.5	67.609756	0.29	14.31	0.487805	NA	1.94	0.5	0.26	184.4	0.04	75.4	36.056999	1.5	27.347	0.58
S0035	1609079	13.1623	-53.4215	29.395123	NA	2054.899902	70.439026	0.22	15.65	1.395122	NA	1.87	0	0.05	196.2	0.02	99.6	36.645	0.9	26.565	0.03
S0036	1609079	13.1623	-53.4215	19.180489	51.427319	2148.399902	NA	0.28	16.52	0.35122	NA	2.14	4.6	0.04	144.8	0.24	150.9	36.912998	1.7	22.09	0.02
S0037	1609079	13.1623	-53.4215	15.95122	NA	2178.100098	NA	0.58	19.459999	0.165854	NA	2.64	13.6	0.02	120	0.77	201.3	36.34	3.9	17.576	0.08
S0039	1609114	9.5462	-50.4686	32.039024	17.521952	1993.900024	74.926826	0.76	17.610001	2.253659	NA	1.95	0	0.01	193.5	0.01	9.1	35.727001	1.1	28.629	0.04
S0040	1609114	9.5462	-50.4686	27.668293	18.312195	2018.099976	82.634148	0.33	18.42	2.068293	NA	1.98	0	0.01	200.8	0.01	72.4	36.203999	1.1	27.927	0.01
S0041	1609114	9.5462	-50.4686	NA	NA	2056.300049	68.585365	NA	NA	NA	NA	NA	0.1	0.3	185.1	0.03	100.6	36.278999	1.2	26.258	NA
S0042	1609114	9.5462	-50.4686	15.219512	64.360977	2177	NA	0.59	18.35	0.331707	NA	3.03	12.4	0.03	116.1	0.7	151.9	36.381001	3.5	18.286	0.12
S0043	1609114	9.5462	-50.4686	9.6	NA	2203.300049	NA	0.88	19.790001	0.234146	NA	3.44	25.200001	0.02	96.1	1.56	202.2	35.287998	9.8	11.985	0.26
S0044	1609051	16.8312	-56.2685	25.112194	NA	1817.5	90.341461	0.52	13.86	2.634146	NA	1.74	0	0.03	207.2	0.02	8	32.824001	1.6	29.158	0.04
S0045	1609051	16.8312	-56.2685	34.058537	NA	2049.300049	72.585365	0.45	19.92	1.2	NA	1.91	0	0.23	195.5	0.01	76.5	36.695999	1.1	26.888	0.02
S0046	1609051	16.8312	-56.2685	32.458538	NA	2069.600098	71.31707	1.7	25.049999	0.663415	NA	1.93	0.1	0.27	190.9	0.02	101.6	36.945999	0.9	26.014	6.22
S0047	1609051	16.8312	-56.2685	22.478048	NA	2134	NA	0.3	19.77	0.458537	NA	2.02	1.8	0.05	163.9	0.08	151	37.144001	1	22.921	0.07
S0048	1609051	16.8312	-56.2685	20.65366	NA	2146.899902	NA	0.4	22.450001	0.22439	NA	2.23	5.5	0.02	155.2	0.25	202.3	36.904999	1.4	20.154	0.07
S0147	1608932	24.7143	-67.0726	41.424389	NA	2035.699951	75.414635	1.77	23.610001	2.760976	NA	2.01	0	0.01	203.6	0.01	11.1	36.492001	0.9	26.76	0.06
S0148	1608932	24.7143	-67.0726	35.502438	54.351219	2074.399902	67.707314	0.49	21.629999	1.941463	NA	2.01	0	0.01	213.4	0.01	77.5	36.914001	0.7	22.846	0.03
S0149	1608932	24.7143	-67.0726	30.643904	NA	2090	62.829269	0.23	19.92	1.239024	NA	1.99	0	0.03	204.9	0.01	119.8	36.834999	0.7	21.297	0.08
S0150	1608932	24.7143	-67.0726	27.32683	47.902439	2093.699951	NA	0.24	20.68	1.043902	NA	2.05	0.1	0.25	212.4	0.02	153	36.708	0.7	20.038	0.09
S0151	1608932	24.7143	-67.0726	26.829268	NA	2107	NA	0.33	22.59	0.321951	NA	2.1	2.4	0.02	198.3	0.08	203.4	36.623001	1	18.96	0.09
S0152	1608967	22.3411	-63.5833	42.819511	NA	2016.599976	NA	1.44	22.01	3.531707	NA	2	0	0.01	193.9	0.01	12.1	36.150002	1.1	28.394	0.02
S0153	1608967	22.3411	-63.5833	36.799999	NA	2070.699951	NA	0.41	20.799999	1.902439	NA	1.97	0	0.01	211.2	0.01	75.5	36.987999	0.7	23.674	0.05
S0154	1608967	22.3411	-63.5833	33.639027	NA	2078.899902	NA	0.3	21.24	1.512195	NA	2.01	0	0.01	210.3	0.01	100.7	36.903999	0.7	22.298	0.02
S0155	1608967	22.3411	-63.5833	NA	NA	2122.100098	NA	NA	NA	NA	NA	NA	0.9	0.11	178.8	0.03	127.8	36.972	0.8	21.313	NA
S0156	1608967	22.3411	-63.5833	27.912195	NA	2115.699951	NA	0.28	20.209999	0.292683	NA	2.14	2.8	0.02	189	0.1	201.4	36.653999	1.1	19.064	0.04
S0157	1608582	47.8007	-39.399	6.585366	NA	2065.800049	57.07317	0.05	18.43	0.819512	NA	2.53	0.2	0.04	259.5	0.03	9.1	35.596001	0	15.206	0.04
S0158	1608582	47.8007	-39.399	15.843903	NA	2106	53.658539	0.11	22.889999	0.809756	NA	2.53	3.7	0.29	219.9	0.25	50.4	36.026001	1.7	15.072	0.05
S0159	1608582	47.8007	-39.399	19.404879	46.882927	2113.300049	NA	0.09	21.610001	0.829268	NA	2.65	5	0.38	223.3	0.3	75.6	36.064999	2.1	15.057	0.05
S0160	1608582	47.8007	-39.399	20.117073	NA	2117.899902	51.707317	0.18	21.280001	0.75122	NA	2.6	6.2	0.25	220.8	0.38	101.9	36.02	2.6	14.688	0.07
S0161	1608582	47.8007	-39.399	19.375610000000002	56.356098	2120.699951	NA	0.18	21.41	0.663415	NA	2.65	6.7	0.21	220.6	0.4	153.3	35.995998	2.7	14.486	0.1
S0162	1608582	47.8007	-39.399	20.263414	NA	2125.800049	NA	0.22	22.32	0.614634	NA	2.67	8.1	0.05	212.6	0.48	202.8	35.896999	3.2	14.053	0.15
S0163	1608862	31.6667	-64.167	28.419512	25.356098	2075.199951	65.463417	0.3	21.57	1.463415	NA	2.03	0	0.02	198.8	0.02	10.1	36.688	0.4	23.793	0.03
S0164	1608862	31.6667	-64.167	21.356098	30.595121	2095.100098	56.975609	0.08	19.190001	0.839024	NA	1.95	0.2	0.07	223.4	0.01	75.5	36.612999	0.5	18.716	0.03
S0165	1608862	31.6667	-64.167	27.863415	26.487804	2101	55.219513	0.12	19.959999	0.643902	NA	2.08	2	0.08	205.3	0.1	100.7	36.605999	0.8	18.469	0.07
S0166	1608862	31.6667	-64.167	28.546343	29.65366	2103.699951	NA	0.16	20.91	0.634146	NA	2.1	2.4	0.05	213.5	0.1	151.1	36.594002	0.9	18.286	0.06
S0167	1608862	31.6667	-64.167	30.243902	38.868294	2104.399902	NA	0.17	20.860001	0.478049	NA	2.14	3	0.01	198.4	0.16	203.5	36.574001	1.1	18.131	0.14
S0168	1608904	28.0905	-67.5015	41.151218	NA	2047.300049	73.365852	0.81	30.540001	3.2	NA	2.08	0.1	0.01	201.4	0.02	8.1	36.758999	0.8	26.876	0.28
S0169	1608904	28.0905	-67.5015	36.234146	36.312195	2069.800049	69.658539	0.47	22.51	1.834146	NA	2.05	0.1	0.01	214.1	0.02	76.5	36.834999	0.7	22.375	0.09
S0170	1608904	28.0905	-67.5015	NA	NA	2070.300049	72.390244	NA	NA	NA	NA	NA	0.1	0.01	215.6	0.02	87.6	36.820999	0.7	22.002	NA
S0171	1608904	28.0905	-67.5015	30.868294	42.565853	2095	NA	0.31	19.09	0.634146	NA	2.07	1.1	0.03	191.1	0.04	151.1	36.765999	0.8	20.425	0.04
S0172	1608904	28.0905	-67.5015	29.473171	NA	2108	NA	0.29	18.09	0.487805	NA	2.03	2.2	0.02	191.9	0.08	201.4	36.669998	0.9	19.329	0.02
S0177	1629687	-35.0093	-39.431	3.24878	NA	2053.600098	250.731705	0.17	17.559999	0.868293	140.896591	2.5	0	0.02	220.8	0.01	49.4	35.728001	0.5	21.949	0.09
S0178	1629687	-35.0093	-39.431	4.107317	NA	2093.100098	NA	2.71	16.93	0.536585	142.360977	2.71	2	0.04	223.8	0.22	152.2	35.797001	0.7	16.334	0.13
S0179	1629701	-32.092	-37.4563	5.609756	19.434147	2044.800049	188.292679	0.27	22.540001	1.219512	146.153168	2.44	0	0	209.5	0	10.1	35.966999	0.43	23.868	0.21
S0180	1629701	-32.092	-37.4563	3.687805	NA	2101.399902	NA	0.39	17.58	0.360976	144.709274	2.63	3.66	0.02	213.1	0.33	150.1	35.722	1.31	16.162	0.06
S0181	1629722	-29.0538	-35.8078	4.136585	23.414635	2032.900024	180.487808	0.22	23.75	1.004878	144.160004	2.39	0	0.01	211.5	0	11.1	35.686001	0.26	24.1	0.19
S0182	1629722	-29.0538	-35.8078	3.453659	NA	2054.399902	174.634155	0.06	20.959999	0.936585	147.698547	2.53	0	0	240.3	0	50.3	35.838001	0.4	20.131	0.14
S0183	1629722	-29.0538	-35.8078	4.370732	NA	2099.5	NA	0.25	17.68	0.312195	144.170731	2.69	3.3	0.01	218	0.29	151.1	35.700001	1.23	15.95	0.12
S0184	1629743	-26.0867	-34.2585	5.687805	14.360976	2052.399902	171.707321	0.24	22.08	1.151219	147.505371	2.51	0	0.03	201.7	0.02	10.1	36.514999	0.35	25.91	0.24
S0185	1629743	-26.0867	-34.2585	5.063415	NA	2073.199951	129.756104	0.13	31.299999	1.073171	147.709274	2.39	0	0.03	230.2	0.02	50.3	36.736	0.67	23.052	3.88
S0186	1629743	-26.0867	-34.2585	3.317073	NA	2093.699951	NA	1.54	19.24	0.634146	148.116104	2.57	0.5	0.05	208.6	0.12	152	36.389	0.85	20.14	0.05
S0187	1629771	-22.4732	-32.7487	4.760976	19.165854	2050.600098	145.365845	0.11	22.139999	1.063415	147.994156	2.31	0	0.01	201.6	0.03	9.1	36.466999	0.41	26.381	0.74
S0188	1629771	-22.4732	-32.7487	4.965854	18.097561	2061.5	113.170731	0.05	20.77	1.053658	151.247803	2.31	0	0.01	223.7	0.02	49.3	36.598	0.72	24.709	0.04
S0189	1629771	-22.4732	-32.7487	3.892683	28.243902	2087.600098	NA	0.1	18.889999	0.829268	147.373657	2.36	0.48	0.04	213.7	0.11	151	36.254002	0.94	19.512	0.05
S0190	1629785	-17.0173	-30.6052	10.780488	22.419512	2089.300049	161.951218	0.04	14.85	1.521951	151.135605	2.24	0	0	200.7	0.04	49.3	37.48	0.56	27.643	0.05
S0191	1629799	-12.8957	-29.2335	12.614634	27.512196	2078.300049	259.512207	0.1	16.27	1.658537	148.461456	2.47	0	0.02	195.3	0.09	10.1	37.008999	0.48	28.108	0.17
S0192	1629799	-12.8957	-29.2335	13.092683	NA	2085.600098	219.512207	0.07	15.91	1.687805	144.821457	2.32	0	0.02	200.6	0.1	49.3	37.217999	0.45	27.266	0.02
S0193	1629799	-12.8957	-29.2335	5.619512	33.960976	2108.399902	NA	0.94	16.389999	1.180488	146.916107	5.09	0	0.04	201.8	0.18	149.9	36.896999	0.69	22.82	2.93
S0195	1629785	-17.0173	-30.6052	4.282927	33.960976	2110.100098	NA	0.35	14.28	1.004878	144.780487	2.31	0.36	0.12	196.4	0.2	143.9	36.754002	0.85	22.135	0.06
S0196	1629820	-9.1608	-28.0012	14.107317	26.190245	2055.100098	NA	0.17	19.889999	1.697561	147.536591	2.39	0	0.01	193.2	0.06	10.1	36.686001	0.36	28.78	0.22
S0197	1629820	-9.1608	-28.0012	14.097561	NA	2056.399902	NA	0.18	16.389999	1.658537	146.98732	2.31	0	0.01	198.5	0.06	50.3	36.817001	0.26	28.091	0.06
S0198	1629820	-9.1608	-28.0012	6.731707	38.453659	2106.600098	NA	1.38	16.48	1.307317	146.600983	2.57	0.68	0.11	189.2	0.27	135.8	36.534	0.57	21.683	2.71
S0199	1629841	-5.6667	-28.4572	16.029268	25.843903	2035.800049	191.219513	0.15	20.1	1.64878	138.334625	2.29	0	0.02	191.1	0.08	10.1	36.282001	0.36	28.88	0.39
S0200	1629841	-5.6667	-28.4572	14.926829	NA	2042.800049	160	0.11	17.57	1.560976	136.229263	2.29	0	0.02	195.4	0.09	50.3	36.443001	0.2	28.668	0.07
S0201	1629841	-5.6667	-28.4572	4.741463	NA	2180.199951	NA	0.26	15.25	0.565854	134.520981	3.16	17.709999	0.06	108.4	1.19	149.9	35.723	4.89	16.228	0.12
S0202	1629869	-2.6505	-28.9172	18.565853	31.760977	2010.199951	170.731705	0.15	22.940001	1.639024	136.279999	2.38	0	0.01	194.4	0.03	10.1	35.692001	0.16	29.003	0.4
S0203	1629869	-2.6505	-28.9172	NA	NA	2125.699951	143.414627	NA	NA	NA	NA	NA	5.75	0.26	159	0.59	65.4	35.945999	2.45	21.077	NA
S0204	1629869	-2.6505	-28.9172	6.039024	69.595123	2176.399902	NA	0.83	16.9	0.204878	137.490723	3.58	19.98	0.02	124	1.31	149.9	35.334	6.89	13.463	0.28
S0205	1629883	-0.1915	-32.8745	20.4	20.624389999999998	2002.599976	68.292686	0.34	20.58	1.629268	134.21658300000001	2.14	0	0	197.1	0.02	9	35.706001	0.46	28.526	3.49
S0206	1629883	-0.1915	-32.8745	13.687805000000001	27.756098	2063.699951	69.268295	0.09	15.66	1.346341	138.151215	2.28	0	0.06	194.3	0.12	61.3	36.5	0.48	25.824	0.03
S0207	1629883	-0.1915	-32.8745	4.682927	53.453659	2146.899902	122.926826	1.07	16.93	0.234146	131.206833	3.46	14.43	0.02	162.5	0.98	150.9	35.384998	5.13	14.031	0.27
S0209	1629547	-49.5475	-52.6885	4.419512	35.192196	2073.100098	NA	0.52	14.94	0.087805	118.364883	4.88	12.96	0.17	287.1	1.01	10.1	33.984001	0	9.995	0.21
S0210	1629547	-49.5475	-52.6885	5.473171	40.712196	2093.399902	NA	0.43	10.06	0.087805	116.636101	4.82	15.13	0.17	288.4	1.21	49.4	33.988998	0.12	8.3	0.18
S0211	1629582	-48.9358	-48.7933	0.946341	44.117073	2065.899902	62.439026	0.06	7.91	0.068293	125.603897	4.89	11.62	0.16	280.6	0.91	11.1	34.07	0	11.272	0.12
S0212	1629582	-48.9358	-48.7933	NA	NA	2096.600098	53.658539	NA	NA	NA	NA	NA	15.55	0.17	293.3	1.18	51.4	33.974998	0.25	8.25	NA
S0213	1629582	-48.9358	-48.7933	0.790244	53.419514	2141.199951	NA	0.11	10.18	0.17561	130.301453	5.4	25.790001	0.05	296.1	1.77	151.3	34.037998	10.47	3.878	1.05
S0214	1629596	-46.907	-47.179	1.77561	22.44878	2033.699951	NA	0.07	11.42	0.97561	126.356102	3.64	0.21	0.04	244.2	0.18	10.1	34.620998	0.32	17.039	0.4
S0215	1629596	-46.907	-47.179	3.873171	41.853661	2106.100098	NA	0.19	16.309999	2.039024	131.735611	3.49	5.9	0.05	214.1	0.52	51.4	35.438999	1.88	14.844	0.27
S0216	1629596	-46.907	-47.179	4.370732	NA	2113.899902	NA	0.33	13.06	0.429268	129.579514	3.87	9.89	0.02	223.4	0.74	152.3	35.206001	2.71	12.607	0.39
S0217	1629610	-44.7117	-45.5265	1.42439	21.560976	2034.699951	215.609756	0.06	10.96	0.478049	130.423416	3.37	0	0	247.6	0.2	10.1	34.527	0	16.967	0.11
S0218	1629610	-44.7117	-45.5265	1.385366	31.697561	2086.5	240.975616	0.05	11.3	0.585366	128.58342	3.65	6.07	0.88	251	0.67	51.4	34.527	0.17	11.899	0.12
S0219	1629610	-44.7117	-45.5265	2.204878	NA	2125.300049	NA	0.53	12.68	0.536585	129.59024	4.59	16.620001	0.02	258.6	1.18	150.3	34.521	3.97	8.126	0.28
S0220	1629624	-42.364	-44.0318	1.092683	22.751221	2031.099976	95.609756	0.05	8.37	0.35122	132.202927	3.26	0	0.02	251.8	0.21	10.1	34.576	0	17.211	0.38
S0221	1629624	-42.364	-44.0318	NA	NA	2075.600098	110.243896	NA	NA	NA	NA	NA	3.57	0.35	248.2	0.54	50.4	34.592999	0.07	13.46	NA
S0222	1629624	-42.364	-44.0318	2	49.170731	2122.300049	NA	0.12	13.96	0.556098	130.067322	4.25	14.61	0.03	254.5	1.05	151.2	34.678001	3.69	9.071	0.07
S0223	1629652	-39.9648	-42.4232	3.814634	29.980488	2015.5	151.219513	0.09	14.24	2.478049	116.585373	3.04	0	0.01	223.5	0.09	10.1	34.796001	1.04	21.256	0.41
S0224	1629652	-39.9648	-42.4232	3.404878	28.648781	2039.699951	491.707306	0.03	12.41	1.804878	133.920975	2.98	0.08	0.04	234.2	0.14	50.4	35.235001	0.76	18.959	0.03
S0225	1629652	-39.9648	-42.4232	4.878049	44.165855	2129.199951	NA	0.7	11.87	0.565854	134.938538	3.73	16.290001	0.02	221.2	1.15	150.2	34.691002	4.42	9.988	0.14
S0226	1629673	-37.8305	-41.1248	4.243903	26.243902	2045.800049	84.878052	0.34	14.64	1.453658	146.468292	2.98	0	0	228	0.07	9.1	35.369999	0.8	20.258	0.4
S0227	1629673	-37.8305	-41.1248	4.536585	NA	2058.800049	172.682938	1.31	13.77	1.219512	140.062439	2.86	0	0.01	231.6	0.09	50.4	35.583	0.89	19.736	0.07
S0228	1629673	-37.8305	-41.1248	7.463415	NA	2104.800049	NA	0.75	13.63	0.57561	143.865372	2.9	4.77	0.03	223.3	0.42	149.2	35.605	1.67	14.966	0.11
S0229	1629687	-35.0093	-39.431	4.663414	18.360975	2052.399902	192.195114	0.4	21.139999	1.02439	141.669266	2.54	0	0.01	220.4	0	11.1	35.730999	0.5	22.088	0.44
S0294	1608715	33.4334	-58.0503	16.89756	NA	2080.899902	63.219513	0.05	21.75	0.770732	NA	2.14	0	0.02	212.3	0.01	9.1	36.647999	0.3	20.566	0.03
S0295	1608715	33.4334	-58.0503	17.970732	NA	2086.699951	57.365852	0.04	19.690001	0.75122	NA	2.15	0	0.04	214	0.01	51.4	36.609001	0.7	18.93	0.06
S0296	1608715	33.4334	-58.0503	17.697561	NA	2090.899902	NA	0.12	22.139999	0.721951	NA	2.18	0.4	0.15	214.2	0.02	76.6	36.597	0.5	18.643	0.06
S0297	1608715	33.4334	-58.0503	22.975611	NA	2100.399902	NA	0.16	19.559999	0.517073	NA	2.25	1.9	0.05	203.9	0.06	152.1	36.584999	1	18.314	0.08
S0298	1608715	33.4334	-58.0503	26.204878	NA	2103.899902	NA	0.13	21.67	0.468293	NA	2.21	2.8	0.04	202.7	0.11	202.5	36.566002	1.4	18.116	0.07
